id;valence;doc_type;content_type;title;topic;region;tags;body;steps;source
os_frontale;learn;entry;bone;Os Frontale;Movement System;Head_Face;"neurocranium; kafa; kafatası; yassı kemik; alın";Alın kemiğidir ve kafanın ön üst bölümünde bulunur. ;"[""Doğumda iki parça halinde iken 5-6 yaşlarında kemikleşerek tek kemiğe dönüşür."", ""Kafanın üst bölümünde iki Os Parietale ile eklem yapar."", ""Kaş kemerleri ve orbitanın tavanını oluşturur."", ""Orbitanın üst iç kısmında 2 adet sinüsü vardır.""]";Ders kitabı s.54
os_occipitale;learn;entry;bone;Os Occipitale;Movement System;Head_Face;"neurocranium; kafa; kafatası; yassı kemik; artkafa; foramen magnum";Artkafa kemiğidir ve kafanın arka alt bölümünde yer alır.;"[""Omurganın ilk omuru ile eklem yapar."", ""Kafatası boşluğunun omurga kanalı ile bağlantısını sağlayan foramen magnum bu kemik üzerindedir.""]";Ders kitabı s.54
os_sphenoidale;learn;entry;bone;Os Sphenoidale;Movement System;Head_Face;"neurocranium; kafa; kafatası; düzensiz; temel; taban; sella turcica";Temel kemiktir ve kafanın tabanında artkafa ve şakak kemiğinin önünde yer alır.;"[""Bütün kafa kemikleri ve bazı yüz kemikleri ile eklem yapar."", ""Gövdesinin üst kısmındaki sella turcica bölümüne hipofiz bezi yerleşmiştir."", ""Gövde kısmında 2 adet sinüsü vardır.""]";Ders kitabı s.54
os_ethmoidale;learn;entry;bone;Os Ethmoidale;Movement System;Head_Face;"neurocranium; kafa; kafatası; düzensiz; kalbur; burun";Kalbur kemiğidir ve os sphenoidale ile kafa tabanının önünde yer alır.;"[""Burun bölmesinin üst kısmını oluşturur."", ""Concha nasalis superior ve concha nasalis media bu kemiğin uzantısıdır."", ""2 adet sinüsü vardır.""]";Ders kitabı s.54
os_parietale;learn;entry;bone;Os Parietale;Movement System;Head_Face;"neurocranium; kafa; kafatası; yassı kemik; duvar; sutura sagittalis; çift";Duvar kemiktir ve kafatasının üst yan duvarını oluşturur.;"[""2 adet Os Parietale vardır."", ""İki Os Parietale kafanın üst bölümünde birbiriyle eklem yapar (sutura sagittalis).""]";Ders kitabı s.54
os_temporale;learn;entry;bone;Os Temporale;Movement System;Head_Face;"neurocranium; kafa; kafatası; düzensiz; şakak; kulak; mastoit; çift";Şakak kemiğidir ve kulakların ön üst bölümünde 2 adet bulunur.;"[""İçinden dış kulak yolu geçer."", ""Kulağın arkasında mastoit çıkıntısı vardır."", ""Kafanın tek oynar kemiği Os Temporale ile Os Mandibula arasında bulunur.""]";Ders kitabı s.54
os_mandibula;learn;entry;bone;Os Mandibula;Movement System;Head_Face;"viscerocranium; kafa; yüz; çene; alt çene; düzensiz; hareketli; temporomandibularis; diş";Alt çene kemiğidir ve Os Temporale ile alt çene eklemini (art. temporomandibularis) oluşturur. ;"[""Yüz bölgesinin en büyük ve en kuvvetli kemiğidir."", ""Üzerinde alt dişlerin sıralandığı diş kemeri bulunur.""]";Ders kitabı s.55
os_vomer;learn;entry;bone;Os Vomer;Movement System;Head_Face;"viscerocranium; kafa; yüz; yassı kemik; burun; sapan";Sapan kemiğidir ve burun bölmesinin arka alt kısmını oluşturur.;;Ders kitabı s.55
os_maxilla;learn;entry;bone;Os Maxilla;Movement System;Head_Face;"viscerocranium; kafa; yüz; çene; üst çene; düzensiz; damak; diş; çift";Üst çene kemiğidir ve damağın büyük bölümü ile göz çukurunun alt kısmını oluşturur.;"[""2 adet Os Maxilla vardır."", ""Gövdesinde 2 adet sinüs vardır."", ""Alt tarafında üst diş kemeri bulunur.""]";Ders kitabı s.55
os_zygomaticum;learn;entry;bone;Os Zygomaticum;Movement System;Head_Face;"viscerocranium; kafa; yüz; elmacık; zigomatik; düzensiz; çift";Göz çukurunun alt dış (lateral) bölümünde yer alır. ;"[""2 adet Os Zygomaticum vardır."", ""Yüzdeki elmacık tümseğini oluşturur."", ""Sağlam ve dayanıklı bir kemiktir.""]";Ders kitabı s.55
