id;valence;doc_type;content_type;title;topic;region;tags;body;steps;source;;;
heart;learn;entry;concept;Kalp;Circulatory System;Heart_External;"heart; organ; pump; circulation";Kalp, dolaşım sisteminin temel organıdır ve kasılıp gevşeyerek kanın vücutta dolaşmasını sağlar.;"[""Kalp kasılma ve gevşeme hareketleri ile kanı pompalar."", ""Akciğerlerden gelen oksijen bakımından zengin kanı dokulara gönderir."", ""Dokulardan dönen oksijen oranı düşük kanı akciğerlere yönlendirir."", ""Kanın damarlar içerisindeki dolaşımı kalbin pompalama işlevine bağlıdır."", ""Kalbin duvarı üç tabakadan oluşur: endokard, miyokard ve epikard."", ""Perikard visseral ve paryetal olmak üzere iki katlıdır."", ""Perikard katmanları arasındaki sıvı kalbin hareketini kolaylaştırır ve sürtünmeyi azaltır.""]";Ders kitabı s.131;;;
basis_cordis;learn;entry;structure;Basis cordis;Circulatory System;Heart_External;"heart; external; base; basis_cordis; location";Kalbin tabanı (basis cordis) üst tarafta yer alır.;;Ders kitabı s.131;;;
apex_cordis;learn;entry;structure;Apex cordis;Circulatory System;Heart_External;"heart; external; apex; apex_cordis; location";Kalbin tepesi (apex cordis) alt tarafta yer alır.;;Ders kitabı s.131;;;
heart_chambers;learn;entry;concept;Kalbin odacıkları;Circulatory System;Heart_Internal;"heart; chambers; atrium; ventricle; anatomy";Kalbin yapısında dört odacık bulunur.;"[""Üst kısımda iki kulakçık (atrium), alt kısımda iki karıncık (ventriculus) yer alır."", ""Kalbin sağ tarafında sağ kulakçık (atrium dexter) ve sağ karıncık (ventriculus dexter), sol tarafında ise sol kulakçık (atrium sinister) ve sol karıncık (ventriculus sinister) bulunur."" , ""Kulakçıkları birbirinden ayıran bölmeye septum interatriale, karıncıkları ayıran bölmeye ise septum interventrikulare denir."" , ""Bu bölmeler sayesinde kalbin sağ tarafındaki kirli kan ile sol tarafındaki temiz kan birbirine karışmaz.""]";Ders kitabı s.131;;;
atrium_dexter;learn;entry;structure;Atrium dexter;Circulatory System;Heart_Internal;"heart; internal; atrium; right";Atrium dexter (sağ kulakçık) kalbin sağ üst odacığıdır.;"[""Üst ana toplardamar ve alt ana toplardamar aracılığıyla vücuttan gelen oksijeni azalmış kan burada toplanır."" , ""Sağ kulakçık bu kanı triküspit kapaktan geçirerek sağ karıncığa gönderir.""]";Ders kitabı s.131;;;
atrium_sinister;learn;entry;structure;Atrium sinister;Circulatory System;Heart_Internal;"heart; internal; atrium; left";Atrium sinister (sol kulakçık) kalbin sol üst odacığıdır.;"[""Akciğerlerden oksijen bakımından zengin kan akciğer toplardamarları aracılığıyla buraya gelir.""  , ""Sol kulakçık bu kanı mitral kapaktan geçirerek sol karıncığa iletir.""]";Ders kitabı s.131;;;
ventriculus_dexter;learn;entry;structure;Ventriculus dexter;Circulatory System;Heart_Internal;"heart; internal; ventricle; right";Ventriculus dexter (sağ karıncık) kalbin sağ alt odacığıdır.;"[""Sağ kulakçıktan gelen oksijeni azalmış kanı akciğerlere gönderir."" , ""Bu kan akciğer atardamarı aracılığıyla akciğerlere taşınır ve burada oksijenlenir.""]";Ders kitabı s.131;;;
ventriculus_sinister;learn;entry;structure;Ventriculus sinister;Circulatory System;Heart_Internal;"heart; internal; ventricle; left";Ventriculus sinister (sol karıncık) kalbin en güçlü kas yapısına sahip odacığıdır.;"[""Sol kulakçıktan gelen oksijen bakımından zengin kanı aort aracılığıyla tüm vücuda pompalar.""]";Ders kitabı s.131;;;
vena_cava_superior;learn;entry;vessel;Üst ana toplardamar;Circulatory System;Heart_External;"heart; vessel; vein";Üst ana toplardamar, baş ve üst vücut bölgelerinden gelen oksijeni azalmış kanı kalbin sağ kulakçığına taşıyan büyük toplardamardır.;;Ders kitabı s.131;;;
vena_cava_inferior;learn;entry;vessel;Alt ana toplardamar;Circulatory System;Heart_External;"heart; vessel; vein";Alt ana toplardamar, vücudun alt bölgelerinden gelen oksijeni azalmış kanı kalbin sağ kulakçığına taşıyan büyük toplardamardır.;;Ders kitabı s.131;;;
